School Name,Rk,Gtm,Score Tm_adv,Score OT_adv,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,_bas,Type_bas,Score Rslt_bas,Score OT_bas,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
BRYANT,33,33,81.4,,31.4,68,0.4636,6,20.6,0.2976,25.4,47.4,0.5354,0.5076,12.6,16.8,0.7342,12.2,28.6,40.8,15.6,6.8,6.6,12.2,16.2,26,64.2,0.404,7,21.2,0.3056,19,43,0.443,0.4572,11.8,19.4,0.6032,9.6,22.8,32.4,11.4,7.8,3.2,11.2,16.6,,,,,107.58,94.1,75.5,0.2466,0.3004,0.5358,56.1,49.58,9,15.78,0.5076,13.8,34.86,0.1858,0.4572,13.26,65.14,0.1852
BUCKNELL,31,31,80.2,,29.4,56,0.5226,8.4,20,0.4094,21,36,0.5818,0.5966,13,19.8,0.6402,8.4,23.4,31.8,14.8,7,3.2,11.2,17.8,23.4,55.6,0.42,8.4,24.2,0.3572,15,31.4,0.4838,0.4956,16,22.2,0.6482,6.6,18.8,25.4,11.6,7.8,2.6,10.2,17.2,,,,,116.2,103,67.4,0.3562,0.357,0.6124,55.96,49.74,10.2,10.38,0.5966,14.62,30.96,0.2356,0.4956,13.38,69.04,0.304
BUFFALO,29,29,72.2,,26.4,59.2,0.4486,8,24.2,0.333,18.4,35,0.5318,0.516,11.4,15.2,0.7344,9,20.8,29.8,12.2,6.2,3.4,13.8,17,29.2,59.4,0.492,7.6,17.4,0.4424,21.6,42,0.5154,0.5554,13.8,18.6,0.7534,9,23,32,15.4,8,2.2,9.6,13,,,,,103.48,113.92,70.02,0.26,0.4096,0.5488,48.78,45.42,8.9,8.12,0.516,17.24,27.5,0.1938,0.5554,12.44,72.5,0.238
BUTLER,33,32.5,73,,27.25,62,0.4365,9.75,27.25,0.35875,17.5,34.75,0.5,0.51525,8.75,13,0.702,6.75,21.75,28.5,11.5,6.75,1,7.25,10,31.75,69.75,0.4585,10.25,30.25,0.339,21.5,39.5,0.5545,0.5335,5.75,8.25,0.7,14.25,27.5,41.75,16.75,5,2.75,9.75,14.75,,,,,105.925,115.825,68.925,0.21425,0.445,0.533,41,43.65,10.025,2.35,0.51525,9.45,19.7,0.14375,0.5335,11.625,80.3,0.0855
CAL POLY,33,33,88.6,,31.4,64.2,0.489,16,34,0.4694,15.4,30.2,0.5012,0.6134,9.8,13,0.7244,7.4,20.6,28,19.4,9.8,1.2,11.2,18.4,27,57.8,0.4654,8,24.6,0.3336,19,33.2,0.57,0.534,15,19.4,0.7772,7,22.8,29.8,15.2,5.2,3,15,15.8,,,,,118.64,103.62,74.62,0.2046,0.5278,0.6288,48.02,62.18,13.1,3.78,0.6134,13.76,24.34,0.154,0.534,18.22,75.66,0.2596
CAL STATE BAKERSFIELD,31,31,73.2,,27.2,63.6,0.4286,6.2,17.6,0.35,21,46,0.457,0.4776,12.6,16.4,0.7816,10.6,20.2,30.8,10.2,6,3,10.6,19.8,25.4,56.2,0.4516,8.8,25.8,0.3328,16.6,30.4,0.567,0.5292,19,23.2,0.8362,9.4,22.4,31.8,14.8,5.4,3.8,13.4,16.8,,,,,102.98,109.62,69.64,0.2574,0.2766,0.5128,49.08,37.3,8.32,10,0.4776,12.74,31.38,0.1982,0.5292,16.48,68.62,0.3378
CAL STATE FULLERTON,30,30,56.4,,20.8,57,0.3666,5.8,21.2,0.2668,15,35.8,0.424,0.418,9,13.6,0.6748,7,24,31,9.4,3.2,2,15.2,11.8,31.6,64.4,0.488,13.2,33,0.3892,18.4,31.4,0.5844,0.5876,8.8,12.4,0.7074,6.4,27.4,33.8,17.2,9.6,4,7,14,,,,,79.38,119.28,71.26,0.2464,0.3752,0.4458,47.84,45.08,4.5,6.6,0.418,19.08,20.48,0.1624,0.5876,9.02,79.54,0.1394
CAL STATE NORTHRIDGE,31,31,81.2,,28.4,60.8,0.469,6,16.2,0.3664,22.4,44.6,0.5036,0.5178,18.4,24.6,0.7322,9,23.6,32.6,13.6,5,1.6,11.2,21.4,24.6,58.2,0.4216,11.6,31.4,0.3706,13,26.8,0.4802,0.5216,21,24.8,0.8436,7.6,21.4,29,15.6,7,5.2,10.6,21.2,,,,,109.88,110.88,73.84,0.4022,0.2664,0.5616,53.72,47.64,6.72,6.5,0.5178,13.42,29.42,0.3032,0.5216,13.18,70.58,0.3638
CALIFORNIA,31,31,83,,28,67,0.4242,7,24.2,0.2946,21,42.8,0.4922,0.4758,20,27.2,0.7446,12.2,24.4,36.6,10.4,7.4,4,11.6,18.6,28.6,61,0.4698,7.8,21.4,0.365,20.8,39.6,0.5346,0.5358,18.8,24.4,0.7818,6.8,27.6,34.4,10,7.2,4,12.2,21,,,,,105.34,106.82,68.8,0.3972,0.3592,0.5246,52.72,37.48,9.56,9.38,0.4758,13.16,31.94,0.2928,0.5358,14.46,68.06,0.3098
CALIFORNIA BAPTIST,30,30,64,,22,56.4,0.3924,7.2,20.6,0.3354,14.8,35.8,0.4152,0.4586,12.8,16.6,0.766,10.2,22.2,32.4,9.6,6.8,2.4,10.8,16.4,22.6,54.8,0.4142,4.6,18,0.2424,18,36.8,0.4874,0.4546,10,15.6,0.6134,8.6,20,28.6,7.2,5.2,3.8,11.4,15.2,,,,,98.74,91.6,64.94,0.2956,0.373,0.5012,52.84,44.26,10.6,6.54,0.4586,14.4,32.32,0.227,0.4546,15.7,67.68,0.1894
